Timestamp (LOCAL_TIME),SPSQC:EXTRACTED_INTENSITY,SPS.BLM.21636.ZS1:LOSS_CYCLE,SPS.BLM.21652.ZS2:LOSS_CYCLE,SPS.BLM.21658.ZS3:LOSS_CYCLE,SPS.BLM.21674.ZS4:LOSS_CYCLE,SPS.BLM.21680.ZS5:LOSS_CYCLE,SPS.BLM.21694.TCE:LOSS_CYCLE,SPS.BLM.21772.TPST:LOSS_CYCLE,SPS.BLM.21775.MST1:LOSS_CYCLE,SPS.BLM.21776.MST1:LOSS_CYCLE,SPS.BLM.21792.MST3:LOSS_CYCLE,SPS.BLM.21796.MST3:LOSS_CYCLE,SPS.BLM.21835.MSE1:LOSS_CYCLE,SPS.BLM.21839.MSE2:LOSS_CYCLE,SPS.BLM.21905.QDA:LOSS_CYCLE,ZS.LSS2.GIRDER:DO_PPM,ZS.LSS2.GIRDER:UP_PPM,ZS1.LSS2.ANODE:DO_PPM,ZS1.LSS2.ANODE:UP_PPM,ZS2.LSS2.ANODE:DO_PPM,ZS2.LSS2.ANODE:UP_PPM,ZS3.LSS2.ANODE:DO_PPM,ZS3.LSS2.ANODE:UP_PPM,ZS4.LSS2.ANODE:DO_PPM,ZS4.LSS2.ANODE:UP_PPM,ZS5.LSS2.ANODE:DO_PPM,ZS5.LSS2.ANODE:UP_PPM
02:32.5,3.91E+01,6.74E-05,0.000161869,0.000229314,0.000202336,0.000215825,0.000215825,0.000107913,6.74E-05,6.74E-05,4.05E-05,2.70E-05,1.35E-05,0,4.05E-05,42.768,68.13,-0.267,-0.036,-0.484,0.296,0.301,-0.008,0.004,1.148,0,-0.002
02:50.5,4.01E+01,6.59E-05,0.000144888,0.000210747,0.000184404,0.000171232,0.000171232,5.27E-05,2.63E-05,2.63E-05,1.32E-05,1.32E-05,1.32E-05,0,3.95E-05,42.768,68.13,-0.277,0.001,-0.8,0.524,0.441,-0.061,0.685,0.146,0.572,0.624
02:50.5,3.54E+01,7.46E-05,0.000164207,0.000223919,0.000194063,0.000208991,0.000194063,8.96E-05,4.48E-05,4.48E-05,2.99E-05,2.99E-05,1.49E-05,1.49E-05,2.99E-05,42.768,68.13,-0.304,-0.036,-0.484,0.296,0.301,-0.008,0.304,0.789,0,-0.002
03:08.5,4.39E+01,7.22E-05,0.000144464,0.000228734,0.000192618,0.000168541,0.000168541,4.82E-05,3.61E-05,3.61E-05,2.41E-05,2.41E-05,1.20E-05,0,3.61E-05,42.768,68.13,-0.227,0.001,-0.8,0.455,0.441,-0.061,0.685,0.146,0.572,0.624
03:08.5,4.53E+01,7.00E-05,0.000151612,0.000221586,0.000186599,0.000186599,0.000186599,0.000116624,7.00E-05,5.83E-05,4.66E-05,3.50E-05,0,0,3.50E-05,42.768,68.13,-0.27,-0.036,-0.484,0.299,0.301,-0.008,0.715,0.789,0,-0.005
03:26.5,4.29E+01,7.38E-05,0.000147639,0.000221458,0.000196851,0.000172245,0.000172245,4.92E-05,3.69E-05,3.69E-05,1.23E-05,2.46E-05,1.23E-05,1.23E-05,3.69E-05,42.768,68.13,-0.221,0.001,-0.8,0.452,0.441,-0.061,0.685,0.146,0.572,0.624
03:26.5,3.58E+01,7.37E-05,0.000162046,0.000235704,0.000191509,0.000176778,0.000176778,0.000132583,8.84E-05,7.37E-05,4.42E-05,4.42E-05,1.47E-05,1.47E-05,4.42E-05,42.768,68.13,-0.304,-0.036,-0.484,0.299,0.301,-0.005,1.354,0.792,0,-0.002
03:44.5,4.67E+01,6.79E-05,0.000147017,0.00022618,0.000192253,0.000169635,0.000169635,4.52E-05,3.39E-05,3.39E-05,1.13E-05,2.26E-05,1.13E-05,0,2.26E-05,42.768,68.13,-0.141,0.001,-0.8,0.527,0.441,-0.061,0.685,0.146,0.569,0.624
03:44.5,3.73E+01,7.09E-05,0.000155893,0.000226753,0.000198409,0.000184237,0.000184237,0.000127549,7.09E-05,7.09E-05,2.83E-05,4.25E-05,1.42E-05,1.42E-05,4.25E-05,42.768,68.13,-0.261,-0.036,-0.487,0.299,0.301,-0.008,0.918,0.792,0,-0.002
04:02.5,3.96E+01,6.66E-05,0.000159942,0.000226584,0.000186599,0.000186599,0.000186599,9.33E-05,5.33E-05,4.00E-05,2.67E-05,1.33E-05,1.33E-05,1.33E-05,2.67E-05,42.768,68.13,-0.304,-0.036,-0.487,0.296,0.301,-0.008,0.779,0.792,0.012,0.263
04:02.5,4.43E+01,7.15E-05,0.000154837,0.000238211,0.00021439,0.000190569,0.000190569,4.76E-05,3.57E-05,3.57E-05,2.38E-05,1.19E-05,1.19E-05,1.19E-05,3.57E-05,42.768,68.13,0.021,0.001,-0.8,0.458,0.444,-0.061,0.685,0.146,0.569,0.624
04:20.5,4.20E+01,6.29E-05,0.000150956,0.000226434,0.000201275,0.000176116,0.000176116,5.03E-05,3.77E-05,3.77E-05,2.52E-05,1.26E-05,1.26E-05,1.26E-05,3.77E-05,42.768,68.13,-0.16,0.001,-0.8,0.5,0.441,-0.061,0.685,0.146,0.569,0.624
04:20.5,3.77E+01,7.00E-05,0.000153944,0.000223919,0.000195929,0.000181934,0.000195929,8.40E-05,4.20E-05,2.80E-05,2.80E-05,1.40E-05,0,1.40E-05,4.20E-05,42.77,68.098,-0.307,-0.036,-0.484,0.299,0.301,-0.005,0.779,0.792,-0.019,0.758
04:38.5,4.57E+01,5.77E-05,0.000150049,0.000207759,0.000173133,0.000184675,0.000184675,8.08E-05,4.62E-05,3.46E-05,2.31E-05,1.15E-05,1.15E-05,1.15E-05,3.46E-05,42.768,68.13,-0.261,-0.036,-0.484,0.296,0.301,-0.008,0.779,0.792,0,0.385
04:38.5,5.00E+01,6.34E-05,0.000147871,0.000221806,0.000200682,0.00019012,0.000179557,5.28E-05,3.17E-05,3.17E-05,2.11E-05,1.06E-05,0,0,3.17E-05,42.768,68.13,-0.16,0.001,-0.8,0.803,0.441,-0.061,0.685,0.146,0.569,0.624
04:56.5,3.96E+01,6.66E-05,0.000159942,0.000226584,0.000186599,0.000186599,0.00017327,8.00E-05,4.00E-05,4.00E-05,4.00E-05,2.67E-05,0,1.33E-05,4.00E-05,42.768,68.13,-0.301,-0.036,-0.484,0.296,0.301,-0.008,0.779,0.792,0.295,0.317
04:56.5,4.39E+01,7.22E-05,0.000156502,0.00026485,0.000252811,0.000228734,0.000228734,7.22E-05,4.82E-05,3.61E-05,3.61E-05,2.41E-05,1.20E-05,1.20E-05,3.61E-05,42.768,68.13,-0.16,0.001,-0.8,0.023,0.441,-0.061,0.685,0.146,0.569,0.624
05:14.5,4.39E+01,7.22E-05,0.000156502,0.000228734,0.000192618,0.000180579,0.000168541,4.82E-05,3.61E-05,2.41E-05,2.41E-05,1.20E-05,1.20E-05,1.20E-05,3.61E-05,42.768,68.13,-0.16,0.001,-0.8,0.527,0.441,-0.061,0.685,0.146,0.569,0.624
05:14.5,4.20E+01,7.55E-05,0.000163536,0.000226435,0.000201275,0.000201275,0.000201275,0.000113217,7.55E-05,6.29E-05,5.03E-05,3.77E-05,1.26E-05,1.26E-05,3.77E-05,42.768,68.13,-0.264,-0.036,-0.484,0.299,0.301,-0.005,0.779,0.792,-0.268,0.323
05:32.5,4.10E+01,6.43E-05,0.000154427,0.000218771,0.000193033,0.000193033,0.000193033,9.01E-05,5.15E-05,5.15E-05,3.86E-05,2.57E-05,1.29E-05,1.29E-05,3.86E-05,42.77,68.098,-0.304,-0.036,-0.487,0.296,0.301,-0.008,0.779,0.792,-0.006,0.314
05:32.5,4.20E+01,7.55E-05,0.000150956,0.000251594,0.000226435,0.000201275,0.000188695,6.29E-05,3.77E-05,3.77E-05,1.26E-05,2.52E-05,1.26E-05,1.26E-05,3.77E-05,42.768,68.13,-0.16,0.001,-0.8,0.272,0.441,-0.061,0.685,0.146,0.565,0.624
05:50.5,4.57E+01,6.93E-05,0.000138506,0.000219302,0.000184675,0.000173133,0.000161591,4.62E-05,3.46E-05,2.31E-05,2.31E-05,2.31E-05,1.15E-05,0,3.46E-05,42.768,68.13,-0.16,0.001,-0.8,0.608,0.441,-0.061,0.685,0.146,0.565,0.624
05:50.5,4.39E+01,6.02E-05,0.000144464,0.000216695,0.000180579,0.000192618,0.000180579,9.63E-05,6.02E-05,4.82E-05,3.61E-05,1.20E-05,1.20E-05,1.20E-05,2.41E-05,42.77,68.098,-0.264,-0.036,-0.484,0.299,0.301,-0.008,0.779,0.792,-0.143,0.317
06:08.5,4.67E+01,6.79E-05,0.000135708,0.000203562,0.000169635,0.000158326,0.000158326,4.52E-05,3.39E-05,3.39E-05,2.26E-05,2.26E-05,0,1.13E-05,3.39E-05,42.768,68.13,-0.16,0.001,-0.487,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
